envId,envName,formationType,formationName,count,mean,std,min,median,max
0,Perfect,0,Horizontal,2399,-0.0038143802953828367,0.0009930814735512757,-0.0315269194543361,-0.0037210800219327,-0.0035054981708526
0,Perfect,1,Random-Matrix,2400,-0.0035874305493779914,3.912330541913009e-05,-0.003932015504688,-0.0035891782026737,-0.0035177376121282
0,Perfect,2,Circular,2400,-0.003636860827100413,0.0003774641064826005,-0.0078008095733821,-0.0035730506060644,-0.003500000340864
1,Open,0,Horizontal,2400,-0.021441054315073364,0.020612305230009943,-0.6700184345245361,-0.01491119107231495,-0.0074781449511647
1,Open,1,Random-Matrix,2400,-0.01529249654461935,0.010573655522047887,-0.110924407839775,-0.011973873246461101,-0.0078357942402362
1,Open,2,Circular,2400,-0.014395557627237042,0.008134940398050553,-0.1117086187005043,-0.0124492268078029,-0.0084995385259389
2,Suburban,0,Horizontal,2400,-0.029589583434862968,0.010518680967960348,-0.1523995250463485,-0.0265228515490889,-0.014255684800446
2,Suburban,1,Random-Matrix,2400,-0.022360420833962613,0.014811780474739598,-0.2438054233789444,-0.018170497380197,-0.0144253997132182
2,Suburban,2,Circular,2400,-0.022036240046533397,0.009179096212252203,-0.1188825666904449,-0.01943660434335465,-0.0156632624566555
3,DenseUrban,0,Horizontal,2400,-0.04563482392579312,0.012442521294016037,-0.3363579213619232,-0.042393062263727146,-0.0274957530200481
3,DenseUrban,1,Random-Matrix,2400,-0.032418111641115153,0.011328790216481126,-0.1286210715770721,-0.028829712420701953,-0.0249968860298395
3,DenseUrban,2,Circular,2401,-0.03578301603870554,0.014861511972876709,-0.1309712082147598,-0.0292839352041482,-0.0245697479695081
