envId,envName,formationType,formationName,static_exceedance,sac_exceedance,improvement
0,Perfect,0,Horizontal,0.0,0.0,0.0
0,Perfect,1,Random-Matrix,0.0,0.0,0.0
0,Perfect,2,Circular,0.0,0.0,0.0
1,Open,0,Horizontal,0.13098684210526312,0.1040350877192982,0.02695175438596492
1,Open,1,Random-Matrix,0.057675438596491206,0.0808333333333333,-0.023157894736842093
1,Open,2,Circular,0.06686403508771926,0.07655701754385963,-0.009692982456140364
2,Suburban,0,Horizontal,0.3290131578947368,0.07493421052631577,0.254078947368421
2,Suburban,1,Random-Matrix,0.22552631578947366,0.08153508771929822,0.14399122807017545
2,Suburban,2,Circular,0.26168859649122805,0.08254385964912277,0.1791447368421053
3,DenseUrban,0,Horizontal,0.5660526315789473,0.08035087719298242,0.48570175438596486
3,DenseUrban,1,Random-Matrix,0.4698026315789473,0.08331140350877189,0.38649122807017544
3,DenseUrban,2,Circular,0.5130482456140351,0.11530283434533853,0.39774541126869656
