step,envId,formationType,timeStep,receiverId,old_threshold,delta_T,new_threshold,benign_exceedance_rate,reward
0,0,0,1,2,10.0,-1.4302868843078613,8.569713115692139,0.0,-0.031526919454336166
1,0,0,1,3,8.569713115692139,-1.264756441116333,7.304956674575806,0.0,-0.025801045820116997
2,0,0,1,4,7.304956674575806,-1.0699864625930786,6.234970211982727,0.0,-0.020183680579066277
3,0,0,1,5,6.234970211982727,-1.008042335510254,5.226927876472473,0.0,-0.017888421192765236
4,0,0,1,6,5.226927876472473,-1.0613566637039185,4.165571212768555,0.0,-0.017930351197719574
5,0,0,1,7,4.165571212768555,-1.1661455631256104,2.9994256496429443,0.0,-0.019098380580544472
6,0,0,1,8,2.9994256496429443,-0.9994754791259766,1.9999501705169678,0.0,-0.014489462599158287
7,0,0,1,9,1.9999501705169678,-0.5550988912582397,1.444851279258728,0.0,-0.007026199251413345
8,0,0,1,10,1.444851279258728,-0.1614081859588623,1.2834430932998657,0.0,-0.004043969325721264
9,0,0,1,11,1.2834430932998657,-0.11085319519042969,1.172589898109436,0.0,-0.003795474302023649
10,0,0,1,12,1.172589898109436,-0.09731638431549072,1.0752735137939453,0.0,-0.00366997835226357
11,0,0,1,13,1.0752735137939453,-0.07712376117706299,1.0,0.0,-0.0035594806540757418
12,0,0,1,14,1.0,-0.03967607021331787,1.0,0.0,-0.0035157420206815004
13,0,0,1,15,1.0,0.027282238006591797,1.0272822380065918,0.0,-0.0035347254015505314
14,0,0,1,16,1.0272822380065918,-0.17522037029266357,1.0,0.0,-0.0038070217706263065
15,0,0,1,17,1.0,-0.4341139793395996,1.0,0.0,-0.005384549498558044
16,0,0,1,18,1.0,-0.5472890138626099,1.0,0.0,-0.006495252717286348
17,0,0,1,19,1.0,-0.4701366424560547,1.0,0.0,-0.005710284691303968
18,0,0,1,20,1.0,-0.4062790870666504,1.0,0.0,-0.005150626879185438
19,0,0,2,1,1.0,-0.478640079498291,1.0,0.0,-0.005790963303297758
20,0,0,2,2,1.0,-0.15846467018127441,1.0,0.0,-0.0037511105183511972
21,0,0,2,3,1.0,-0.10637915134429932,1.0,0.0,-0.003613165346905589
22,0,0,2,4,1.0,-0.14520883560180664,1.0,0.0,-0.0037108559627085924
23,0,0,2,5,1.0,-0.1850835084915161,1.0,0.0,-0.0038425589445978403
24,0,0,2,6,1.0,-0.21563923358917236,1.0,0.0,-0.003965002950280905
25,0,0,2,7,1.0,-0.19490444660186768,1.0,0.0,-0.00387987750582397
26,0,0,2,8,1.0,-0.09658432006835938,1.0,0.0,-0.003593285335227847
27,0,0,2,9,1.0,-0.1304546594619751,1.0,0.0,-0.00367018417455256
28,0,0,2,10,1.0,-0.20212483406066895,1.0,0.0,-0.003908544313162565
29,0,0,2,11,1.0,-0.04895007610321045,1.0,0.0,-0.0035239611752331257
30,0,0,2,12,1.0,-0.04054689407348633,1.0,0.0,-0.003516440512612462
31,0,0,2,13,1.0,-0.06378734111785889,1.0,0.0,-0.003540688194334507
32,0,0,2,14,1.0,-0.16269612312316895,1.0,0.0,-0.0037647003773599863
33,0,0,2,15,1.0,-0.13304269313812256,1.0,0.0,-0.003677003551274538
34,0,0,2,16,1.0,-0.14575695991516113,1.0,0.0,-0.0037124508526176214
35,0,0,2,17,1.0,-0.12001216411590576,1.0,0.0,-0.0036440291441977024
36,0,0,2,18,1.0,-0.1444382667541504,1.0,0.0,-0.0037086240481585264
37,0,0,2,19,1.0,-0.19242048263549805,1.0,0.0,-0.0038702564779669046
38,0,0,2,20,1.0,-0.21853768825531006,1.0,0.0,-0.003977586980909109
39,0,0,3,1,1.0,-0.204085111618042,1.0,0.0,-0.003916507121175528
40,0,0,3,2,1.0,-0.15977919101715088,1.0,0.0,-0.0037552937865257263
41,0,0,3,3,1.0,-0.1000375747680664,1.0,0.0,-0.0036000751424580812
42,0,0,3,4,1.0,-0.13999831676483154,1.0,0.0,-0.0036959953140467405
43,0,0,3,5,1.0,-0.19268274307250977,1.0,0.0,-0.003871266497299075
44,0,0,3,6,1.0,-0.21355080604553223,1.0,0.0,-0.003956039436161518
45,0,0,3,7,1.0,-0.1665710210800171,1.0,0.0,-0.003777459030970931
46,0,0,3,8,1.0,-0.09854304790496826,1.0,0.0,-0.0035971072502434254
47,0,0,3,9,1.0,-0.1590484380722046,1.0,0.0,-0.0037529640831053257
48,0,0,3,10,1.0,-0.08529365062713623,1.0,0.0,-0.003572750138118863
49,0,0,3,11,1.0,-0.03529798984527588,1.0,0.0,-0.003512459574267268
50,0,0,3,12,1.0,-0.052034974098205566,1.0,0.0,-0.0035270764492452145
51,0,0,3,13,1.0,-0.1346273422241211,1.0,0.0,-0.0036812452599406242
52,0,0,3,14,1.0,-0.15267431735992432,1.0,0.0,-0.003733094548806548
53,0,0,3,15,1.0,-0.14089274406433105,1.0,0.0,-0.003698507556691766
54,0,0,3,16,1.0,-0.14517998695373535,1.0,0.0,-0.0037107723765075207
55,0,0,3,17,1.0,-0.14535045623779297,1.0,0.0,-0.0037112676072865725
56,0,0,3,18,1.0,-0.1473320722579956,1.0,0.0,-0.0037170674186199903
57,0,0,3,19,1.0,-0.19293785095214844,1.0,0.0,-0.0038722502067685127
58,0,0,3,20,1.0,-0.2222156524658203,1.0,0.0,-0.0039937980473041534
59,0,0,4,1,1.0,-0.22697925567626953,1.0,0.0,-0.004015195649117231
60,0,0,4,2,1.0,-0.16156792640686035,1.0,0.0,-0.003761041909456253
61,0,0,4,3,1.0,-0.08991360664367676,1.0,0.0,-0.00358084449544549
62,0,0,4,4,1.0,-0.13616013526916504,1.0,0.0,-0.0036853959318250418
63,0,0,4,5,1.0,-0.20366036891937256,1.0,0.0,-0.00391477532684803
64,0,0,4,6,1.0,-0.2277679443359375,1.0,0.0,-0.004018782172352076
65,0,0,4,7,1.0,-0.14566004276275635,1.0,0.0,-0.0037121684290468693
66,0,0,4,8,1.0,-0.14487886428833008,1.0,0.0,-0.0037098987959325314
67,0,0,4,9,1.0,-0.1417865753173828,1.0,0.0,-0.0037010342348366976
68,0,0,4,10,1.0,-0.04587972164154053,1.0,0.0,-0.0035210493952035904
69,0,0,4,11,1.0,-0.0395892858505249,1.0,0.0,-0.003515673102810979
70,0,0,4,12,1.0,-0.07863807678222656,1.0,0.0,-0.003561839461326599
71,0,0,4,13,1.0,-0.15372097492218018,1.0,0.0,-0.003736301325261593
72,0,0,4,14,1.0,-0.10302042961120605,1.0,0.0,-0.003606131998822093
73,0,0,4,15,1.0,-0.14627385139465332,1.0,0.0,-0.0037139602936804295
74,0,0,4,16,1.0,-0.1325756311416626,1.0,0.0,-0.0036757630296051502
75,0,0,4,17,1.0,-0.1577368974685669,1.0,0.0,-0.0037488092202693224
76,0,0,4,18,1.0,-0.13937878608703613,1.0,0.0,-0.0036942644510418177
77,0,0,4,19,1.0,-0.19643640518188477,1.0,0.0,-0.0038858726620674133
