envId,formationType,threshold,mean_exceedance,mean_reward,rows
0,0,2,0.0,-0.0045000000000000005,2400
0,1,2,0.0,-0.0045000000000000005,2400
0,2,2,0.0,-0.0045000000000000005,2400
1,0,15,0.04691075514874141,-0.017946085288913182,1196
1,1,10,0.0410927380913245,-0.01274396109772113,1601
1,2,10,0.06048153416574469,-0.013067880900290874,999
2,0,25,0.057323541411668705,-0.028027174729970582,258
2,1,15,0.07940371159111652,-0.021296454934110448,173
2,2,20,0.043800777110561635,-0.0223215248470877,149
3,0,30,0.08270676691729323,-0.03491392956074396,21
3,1,25,0.12030075187969924,-0.032881875741986547,7
3,2,30,0.08646616541353383,-0.03473585278986941,14
