step,envId,formationType,timeStep,receiverId,old_threshold,delta_T,new_threshold,benign_exceedance_rate,reward
0,0,0,1,2,10.0,-2.0,8.0,0.0,-0.0505
1,0,0,1,3,8.0,-2.0,6.0,0.0,-0.0485
2,0,0,1,4,6.0,-2.0,4.0,0.0,-0.0465
3,0,0,1,5,4.0,-2.0,2.0,0.0,-0.0445
4,0,0,1,6,2.0,-2.0,1.0,0.0,-0.043500000000000004
5,0,0,1,7,1.0,-2.0,1.0,0.0,-0.043500000000000004
6,0,0,1,8,1.0,-2.0,1.0,0.0,-0.043500000000000004
7,0,0,1,9,1.0,-2.0,1.0,0.0,-0.043500000000000004
8,0,0,1,10,1.0,-2.0,1.0,0.0,-0.043500000000000004
9,0,0,1,11,1.0,-2.0,1.0,0.0,-0.043500000000000004
10,0,0,1,12,1.0,-2.0,1.0,0.0,-0.043500000000000004
11,0,0,1,13,1.0,-2.0,1.0,0.0,-0.043500000000000004
12,0,0,1,14,1.0,-2.0,1.0,0.0,-0.043500000000000004
13,0,0,1,15,1.0,-2.0,1.0,0.0,-0.043500000000000004
14,0,0,1,16,1.0,-2.0,1.0,0.0,-0.043500000000000004
15,0,0,1,17,1.0,-2.0,1.0,0.0,-0.043500000000000004
16,0,0,1,18,1.0,-2.0,1.0,0.0,-0.043500000000000004
17,0,0,1,19,1.0,-2.0,1.0,0.0,-0.043500000000000004
18,0,0,1,20,1.0,-2.0,1.0,0.0,-0.043500000000000004
19,0,0,2,1,1.0,-2.0,1.0,0.0,-0.043500000000000004
20,0,0,2,2,1.0,-2.0,1.0,0.0,-0.043500000000000004
21,0,0,2,3,1.0,-2.0,1.0,0.0,-0.043500000000000004
22,0,0,2,4,1.0,-2.0,1.0,0.0,-0.043500000000000004
23,0,0,2,5,1.0,-2.0,1.0,0.0,-0.043500000000000004
24,0,0,2,6,1.0,-2.0,1.0,0.0,-0.043500000000000004
25,0,0,2,7,1.0,-2.0,1.0,0.0,-0.043500000000000004
26,0,0,2,8,1.0,-2.0,1.0,0.0,-0.043500000000000004
27,0,0,2,9,1.0,-2.0,1.0,0.0,-0.043500000000000004
28,0,0,2,10,1.0,-2.0,1.0,0.0,-0.043500000000000004
