step,envId,formationType,timeStep,receiverId,old_threshold,delta_T,new_threshold,benign_exceedance_rate,reward
0,0,0,1,2,10.0,2.0,12.0,0.0,-0.0545
1,0,0,1,3,12.0,2.0,14.0,0.0,-0.0565
2,0,0,1,4,14.0,2.0,16.0,0.0,-0.0585
3,0,0,1,5,16.0,2.0,18.0,0.0,-0.0605
4,0,0,1,6,18.0,2.0,20.0,0.0,-0.0625
5,0,0,1,7,20.0,2.0,22.0,0.0,-0.0645
6,0,0,1,8,22.0,2.0,24.0,0.0,-0.0665
7,0,0,1,9,24.0,2.0,26.0,0.0,-0.0685
8,0,0,1,10,26.0,2.0,28.0,0.0,-0.07050000000000001
9,0,0,1,11,28.0,2.0,30.0,0.0,-0.07250000000000001
10,0,0,1,12,30.0,2.0,32.0,0.0,-0.07450000000000001
11,0,0,1,13,32.0,2.0,34.0,0.0,-0.07650000000000001
12,0,0,1,14,34.0,2.0,36.0,0.0,-0.0785
13,0,0,1,15,36.0,2.0,38.0,0.0,-0.08050000000000002
14,0,0,1,16,38.0,2.0,40.0,0.0,-0.08250000000000002
15,0,0,1,17,40.0,2.0,42.0,0.0,-0.0845
16,0,0,1,18,42.0,2.0,44.0,0.0,-0.08650000000000001
17,0,0,1,19,44.0,2.0,46.0,0.0,-0.08850000000000001
18,0,0,1,20,46.0,2.0,48.0,0.0,-0.0905
19,0,0,2,1,48.0,2.0,50.0,0.0,-0.0925
20,0,0,2,2,50.0,2.0,50.0,0.0,-0.0925
21,0,0,2,3,50.0,2.0,50.0,0.0,-0.0925
22,0,0,2,4,50.0,2.0,50.0,0.0,-0.0925
23,0,0,2,5,50.0,2.0,50.0,0.0,-0.0925
24,0,0,2,6,50.0,2.0,50.0,0.0,-0.0925
25,0,0,2,7,50.0,2.0,50.0,0.0,-0.0925
26,0,0,2,8,50.0,2.0,50.0,0.0,-0.0925
27,0,0,2,9,50.0,2.0,50.0,0.0,-0.0925
28,0,0,2,10,50.0,2.0,50.0,0.0,-0.0925
29,0,0,2,11,50.0,2.0,50.0,0.0,-0.0925
30,0,0,2,12,50.0,2.0,50.0,0.0,-0.0925
31,0,0,2,13,50.0,1.9999995231628418,50.0,0.0,-0.09249998092651596
32,0,0,2,14,50.0,2.0,50.0,0.0,-0.0925
33,0,0,2,15,50.0,2.0,50.0,0.0,-0.0925
34,0,0,2,16,50.0,2.0,50.0,0.0,-0.0925
35,0,0,2,17,50.0,2.0,50.0,0.0,-0.0925
36,0,0,2,18,50.0,2.0,50.0,0.0,-0.0925
37,0,0,2,19,50.0,2.0,50.0,0.0,-0.0925
38,0,0,2,20,50.0,2.0,50.0,0.0,-0.0925
39,0,0,3,1,50.0,2.0,50.0,0.0,-0.0925
40,0,0,3,2,50.0,2.0,50.0,0.0,-0.0925
41,0,0,3,3,50.0,2.0,50.0,0.0,-0.0925
42,0,0,3,4,50.0,2.0,50.0,0.0,-0.0925
43,0,0,3,5,50.0,2.0,50.0,0.0,-0.0925
44,0,0,3,6,50.0,2.0,50.0,0.0,-0.0925
45,0,0,3,7,50.0,2.0,50.0,0.0,-0.0925
46,0,0,3,8,50.0,2.0,50.0,0.0,-0.0925
47,0,0,3,9,50.0,2.0,50.0,0.0,-0.0925
48,0,0,3,10,50.0,2.0,50.0,0.0,-0.0925
49,0,0,3,11,50.0,2.0,50.0,0.0,-0.0925
50,0,0,3,12,50.0,2.0,50.0,0.0,-0.0925
51,0,0,3,13,50.0,1.9999990463256836,50.0,0.0,-0.09249996185303644
52,0,0,3,14,50.0,2.0,50.0,0.0,-0.0925
53,0,0,3,15,50.0,2.0,50.0,0.0,-0.0925
54,0,0,3,16,50.0,2.0,50.0,0.0,-0.0925
55,0,0,3,17,50.0,2.0,50.0,0.0,-0.0925
56,0,0,3,18,50.0,2.0,50.0,0.0,-0.0925
57,0,0,3,19,50.0,2.0,50.0,0.0,-0.0925
58,0,0,3,20,50.0,2.0,50.0,0.0,-0.0925
59,0,0,4,1,50.0,2.0,50.0,0.0,-0.0925
60,0,0,4,2,50.0,2.0,50.0,0.0,-0.0925
61,0,0,4,3,50.0,2.0,50.0,0.0,-0.0925
62,0,0,4,4,50.0,2.0,50.0,0.0,-0.0925
63,0,0,4,5,50.0,2.0,50.0,0.0,-0.0925
64,0,0,4,6,50.0,2.0,50.0,0.0,-0.0925
65,0,0,4,7,50.0,2.0,50.0,0.0,-0.0925
66,0,0,4,8,50.0,2.0,50.0,0.0,-0.0925
67,0,0,4,9,50.0,2.0,50.0,0.0,-0.0925
68,0,0,4,10,50.0,2.0,50.0,0.0,-0.0925
69,0,0,4,11,50.0,2.0,50.0,0.0,-0.0925
70,0,0,4,12,50.0,2.0,50.0,0.0,-0.0925
71,0,0,4,13,50.0,1.9999966621398926,50.0,0.0,-0.09249986648570713
72,0,0,4,14,50.0,1.9999995231628418,50.0,0.0,-0.09249998092651596
73,0,0,4,15,50.0,2.0,50.0,0.0,-0.0925
74,0,0,4,16,50.0,2.0,50.0,0.0,-0.0925
75,0,0,4,17,50.0,2.0,50.0,0.0,-0.0925
76,0,0,4,18,50.0,2.0,50.0,0.0,-0.0925
77,0,0,4,19,50.0,2.0,50.0,0.0,-0.0925
78,0,0,4,20,50.0,2.0,50.0,0.0,-0.0925
79,0,0,5,1,50.0,2.0,50.0,0.0,-0.0925
80,0,0,5,2,50.0,2.0,50.0,0.0,-0.0925
81,0,0,5,3,50.0,2.0,50.0,0.0,-0.0925
82,0,0,5,4,50.0,2.0,50.0,0.0,-0.0925
83,0,0,5,5,50.0,2.0,50.0,0.0,-0.0925
84,0,0,5,6,50.0,2.0,50.0,0.0,-0.0925
85,0,0,5,7,50.0,2.0,50.0,0.0,-0.0925
86,0,0,5,8,50.0,2.0,50.0,0.0,-0.0925
87,0,0,5,9,50.0,2.0,50.0,0.0,-0.0925
88,0,0,5,10,50.0,2.0,50.0,0.0,-0.0925
